,PLAYER_NAME,TEAM_ABBREVIATION,NPTwAO/G,PGen/G,IOEwAO,Eff_Factor,Pos_Weight,Score
36,Boban Marjanovic,DAL,5.21,7.668181818181817,1.4728479133927013,1.3545574375067595,0.4435502921402876,7.003409845031204
37,Bobby Portis,NYK,12.71,14.225961538461537,1.1272552724612948,1.0367207634927298,0.7606923886183047,11.92978835073459
38,Bogdan Bogdanovic,SAC,21.05,24.12019407483643,1.1603197364160611,1.067129684305154,0.9063640692933187,27.069626593930664
39,Bojan Bogdanovic,UTA,22.97,26.519974432726112,1.1692783083686138,1.075368756484587,0.9245557121458733,31.39056419791536
40,Bol Bol,DEN,6.91,8.326530612244897,1.2296564195298372,1.1308976531156398,0.5404216941438097,5.938591411875212
41,Brad Wanamaker,BOS,11.55,13.689696071163823,1.201681940869185,1.1051699199358616,0.7273301535832639,13.11112158658977
42,Bradley Beal,WAS,41.69,47.8804318488529,1.169777553870684,1.0758279055262647,0.9908183924859636,63.6143340504014
43,Brandon Clarke,MEM,11.76,16.13736263736264,1.3922279897766303,1.2804124316630645,0.7336970544623602,25.825015975966423
44,Brandon Goodwin,ATL,10.36,9.932247899159664,0.9726279624753128,0.8945122089782968,0.6882664159402752,5.365717275084326
45,Brandon Ingram,NOP,31.6,36.56794425087108,1.1741618210770028,1.079860054194389,0.9714278953144857,47.35222722033068
46,Brandon Knight,DET,13.96,15.198356164383563,1.1014578620987625,1.0129952492986076,0.7920886121289447,12.471771025775084
47,Brook Lopez,MIL,13.4,15.897495631916131,1.189408616066254,1.0938823163458542,0.7785675187633784,16.047541890846468
48,Bruce Brown,DET,17.25,20.169291338582674,1.1981429981131908,1.1019152042334097,0.8564112666812592,23.460692342450923
49,Bruno Caboclo,HOU,3.83,4.205555555555557,1.0974831825562517,1.0093397926237822,0.3500854055192091,1.492188750225308
50,Bruno Fernando,ATL,5.03,6.739477040816326,1.3752030108064213,1.264754798802404,0.43216627269549346,4.826805856483848
51,Bryn Forbes,SAS,13.52,15.72359058565955,1.1742368502804077,1.0799290574937643,0.7815370388433149,15.315830235883519
52,Buddy Hield,SAC,24.58,27.80314009661836,1.1420472415945104,1.0503247287240167,0.9370555276298773,30.79872982757988
53,CJ McCollum,POR,30.62,34.67100085543199,1.1451212889875622,1.0531518867229135,0.9680972905588542,40.52635103129681
54,CJ Miles,WAS,8.28,9.108333333333334,1.1000402576489534,1.0116914984948273,0.6060711620866276,5.66473782350151
55,Caleb Martin,CHA,8.79,10.132478632478634,1.1748558063940695,1.080498302695273,0.6280386157823603,7.667617693284571
56,Caleb Swanigan,POR,4.09,5.486111111111112,1.3529868469126778,1.2443229064382968,0.3688217618082812,3.0669056300574344
57,Cam Reddish,ATL,14.66,14.629860601614087,1.0060370801641099,0.9252381029653106,0.8078349221587112,9.670462486792948
58,Cameron Johnson,PHX,9.79,12.330209084354722,1.2684484511410252,1.166574137060199,0.6676197059876269,12.509128331159252
59,Cameron Payne,PHX,16.51,19.658653846153847,1.209019301731479,1.1119179871580889,0.84394464385185,23.154727360697947
60,Caris LeVert,BKN,29.48,31.11050505050505,1.0722173329397149,0.9861031473450634,0.9637313894297158,28.583562542311046
61,Carmelo Anthony,POR,18.12,19.46432818073722,1.0763615370149484,0.9899145133398881,0.8698003211022478,16.430711690723122
62,Carsen Edwards,BOS,5.09,5.016632016632017,0.9960044248518171,0.9160112114800222,0.43598659085099145,1.9101109838032937
63,Cedi Osman,CLE,15.91,18.101782363977485,1.1486351025601709,1.0563834914700903,0.8330462294799046,17.754365757495826
64,Chandler Hutchison,CHI,10.26,10.740476190476189,1.0614617158454516,0.9762113581131058,0.6847392884056951,6.950597409860551
65,Chandler Parsons,ATL,5.6,4.933333333333334,0.8809523809523808,0.8101994706022095,0.4674388158642254,1.7033614234593044
66,Charles Brown Jr.,ATL,2.42,2.5,1.0330578512396695,0.9500887247401387,0.23835510054079423,0.569249640683566
67,Chasson Randle,GSW,4.55,6.333333333333332,1.5031645569620251,1.38243922669467,0.400657290955188,5.140212235242183
68,Cheick Diallo,PHX,4.49,6.029459901800327,1.367950450784975,1.2580847217165867,0.3965976714575168,3.801950935204581
69,Chimezie Metu,SAS,3.54,4.847222222222221,1.4136422553467272,1.3001068294572689,0.3285302690233408,2.5573456425954473
70,Chris Boucher,TOR,5.24,8.035714285714286,1.5422680959456594,1.4184021995729121,0.44542531510544914,8.559800021867105
71,Chris Chiozza,BKN,12.94,13.713541666666668,1.0995966972126767,1.011283562222196,0.7668056000746282,10.830936382577026
72,Chris Clemons,HOU,6.6,7.223615464994777,1.1044260116050204,1.0157250145057106,0.5241096240811555,3.905536334571391
73,Chris Paul,OKC,30.27,36.58251183514341,1.2324695000673989,1.1334848035809464,0.9668159435005638,57.186113829194134
74,Chris Silva,MIA,2.8,4.318181818181818,1.5548281505728316,1.4299535045352398,0.27023210255878305,2.1887074877659876
75,Christian Wood,DET,11.64,15.950704225352116,1.3919373690629306,1.280145151894627,0.7300772557562853,25.2988993990383
76,Clint Capela,ATL,11.53,18.265734265734263,1.6089159733572056,1.4796973117300747,0.726715899606007,53.48176598170118
77,Coby White,CHI,20.13,20.96602564102564,1.0549882847174912,0.9702578348736506,0.8961524841595078,17.163002872078053
78,Cody Martin,CHA,9.53,10.965090090090092,1.1918576184880534,1.096134629306857,0.657753086330517,9.079381954494597
79,Cody Zeller,CHA,11.19,15.456062291434927,1.3925245633515997,1.2806851861939905,0.7160593023650499,23.867684323409996
80,Collin Sexton,CLE,27.27,30.18769230769231,1.1248050995138952,1.0344673740158539,0.9534931165921756,32.370792211960726
